year,rank,movieNm,openDt,salesAcc,audiAcc,scrnCnt
2015,1,베테랑,2015-08-05,105168155250,13414009,1064.0
2015,2,암살,2015-07-22,98463132781,12705700,1519.0
2015,3,어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,10494499,1843.0
2015,4,국제시장,2014-12-17,69823893034,8911437,966.0
2015,5,내부자들,2015-11-19,56465665657,7055332,1075.0
2015,6,사도,2015-09-16,48842902501,6246849,1210.0
2015,7,킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,6129681,706.0
2015,8,미션 임파서블: 로그네이션,2015-07-30,48547353607,6126488,1202.0
2015,9,연평해전,2015-06-24,45563228330,6043784,1013.0
2015,10,쥬라기 월드,2015-06-11,47800698826,5546792,1290.0
2015,11,검은 사제들,2015-11-05,42405282092,5442128,1088.0
2015,12,히말라야,2015-12-16,39469775448,5129409,1009.0
2015,13,인사이드 아웃,2015-07-09,38024694936,4969735,777.0
2015,14,마션,2015-10-08,39663145295,4880800,1132.0
2015,15,조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428,3872015,811.0
2015,16,매드 맥스: 분노의 도로,2015-05-14,32906364462,3842441,799.0
2015,17,인턴,2015-09-24,28517727148,3610564,496.0
2015,18,분노의 질주: 더 세븐,2015-04-01,26454098694,3247955,983.0
2015,19,터미네이터 제니시스,2015-07-02,26556715129,3240370,1113.0
2015,20,스물,2015-03-25,23558988686,3044134,926.0
2015,21,극비수사,2015-06-18,22389535897,2860786,894.0
2015,22,앤트맨,2015-09-03,23528441937,2841699,949.0
2015,23,스타워즈: 깨어난 포스,2015-12-17,24149478540,2803234,940.0
2015,24,빅 히어로,2015-01-21,21993119765,2801949,825.0
2015,25,메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,2744413,804.0
2015,26,탐정 : 더 비기닝,2015-09-24,20463956973,2625686,764.0
2015,27,미니언즈,2015-07-29,18997911278,2625572,792.0
2015,28,스파이,2015-05-21,18417637358,2318748,665.0
2015,29,악의 연대기,2015-05-14,17361815332,2192525,776.0
2015,30,강남 1970,2015-01-21,17717971499,2192172,841.0
2016,1,부산행,2016-07-20,93178283048,11565479,1788.0
2016,2,검사외전,2016-02-03,77319445264,9707158,1812.0
2016,3,캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991.0
2016,4,밀정,2016-09-07,61269783831,7500420,1444.0
2016,5,터널,2016-08-10,57529484417,7120508,1105.0
2016,6,인천상륙작전,2016-07-27,55101410303,7049643,1049.0
